barcode	Interneuron	Neuroblast	Mitral/Tufted Cells	Astrocytes	Olfactory Ensheathing cells	Pia	Oligodendrocytes	Microglia	Endothelial cells
200_200_1	2	2	0	1	0	0	0	0	1
200_600_1	2	0	0	1	0	0	0	0	0
200_1000_1	3	0	0	2	3	0	0	0	1
200_1400_1	0	0	0	0	2	1	0	1	0
200_1800_1	0	0	0	0	2	1	0	0	0
600_200_1	4	0	0	1	0	0	0	0	1
600_600_1	12	3	0	2	1	0	0	1	1
600_1000_1	0	0	0	0	8	0	0	0	0
600_1400_1	0	0	0	2	2	8	0	1	1
600_1800_1	7	0	0	1	5	1	0	0	0
1000_200_1	2	0	0	1	0	0	0	0	2
1000_600_1	8	3	0	1	0	0	0	1	0
1000_1000_1	6	0	0	2	5	0	0	1	2
1000_1400_1	0	0	0	0	5	5	0	1	0
1000_1800_1	3	0	0	1	1	0	0	0	0
1400_200_1	1	0	0	2	0	0	1	0	0
1400_600_1	6	4	1	5	0	0	0	1	0
1400_1000_1	2	0	0	1	2	0	0	2	4
1400_1400_1	0	0	0	0	7	2	0	1	6
1400_1800_1	6	2	0	2	5	0	1	0	1
1800_200_1	2	1	0	1	0	0	0	0	0
1800_600_1	2	0	6	2	0	0	1	0	1
1800_1000_1	8	2	0	2	0	0	0	0	3
1800_1400_1	1	0	0	0	0	6	0	0	2
1800_1800_1	4	2	0	1	1	0	0	0	2
200_200_2	3	2	0	0	0	0	0	0	0
200_600_2	1	0	0	0	0	0	0	0	0
200_1000_2	6	3	0	0	0	0	0	0	1
600_200_2	4	5	0	1	0	0	3	0	0
600_600_2	7	5	0	2	0	0	0	2	1
600_1000_2	17	6	0	3	0	0	0	0	0
600_1400_2	2	1	0	0	0	0	1	0	0
1000_200_2	15	1	0	1	0	0	0	0	0
1000_600_2	15	8	0	2	0	0	0	0	0
1000_1000_2	24	7	0	1	0	0	0	0	0
1000_1400_2	10	2	0	0	0	0	0	0	1
1400_200_2	7	5	0	0	0	0	3	0	0
1400_600_2	21	10	0	2	0	0	0	0	0
1400_1000_2	18	8	0	3	0	0	0	0	0
1400_1400_2	15	7	0	4	0	0	0	0	0
1400_1800_2	4	0	0	0	0	0	0	0	0
1800_200_2	7	0	0	0	0	0	0	0	0
1800_600_2	12	5	0	1	0	0	0	1	0
1800_1000_2	10	9	0	2	0	0	0	0	0
1800_1400_2	14	2	0	1	0	0	0	1	0
1800_1800_2	5	1	0	1	0	0	0	0	0
200_600_3	3	0	0	0	0	0	0	0	1
200_1000_3	4	2	0	2	0	0	1	0	0
200_1400_3	2	2	0	1	0	0	0	0	1
600_200_3	4	1	0	1	0	0	0	0	0
600_600_3	13	9	0	2	0	0	0	1	1
600_1000_3	14	7	0	1	0	0	0	0	0
600_1400_3	19	8	0	1	0	0	0	1	0
600_1800_3	5	1	0	1	0	0	0	0	0
1000_200_3	2	4	0	2	0	0	0	0	0
1000_600_3	18	4	0	3	0	0	0	0	0
1000_1000_3	16	5	0	3	0	0	0	0	0
1000_1400_3	14	7	0	1	0	0	0	0	0
1000_1800_3	7	1	0	0	0	0	0	1	0
1400_200_3	0	5	0	1	0	0	0	0	0
1400_600_3	11	10	0	4	0	0	0	0	0
1400_1000_3	9	9	0	1	0	0	0	0	0
1400_1400_3	11	6	0	2	0	0	0	2	2
1400_1800_3	11	1	0	0	0	0	0	0	0
1800_600_3	3	4	0	0	0	0	0	0	0
1800_1000_3	2	0	0	1	0	0	1	0	1
1800_1400_3	6	1	0	2	0	0	0	0	0
1800_1800_3	1	1	0	0	0	0	0	0	0
200_200_4	1	0	0	0	0	0	0	0	0
200_600_4	7	3	0	0	0	0	0	0	0
200_1000_4	7	2	0	0	0	0	0	0	0
200_1400_4	5	2	0	2	0	0	0	0	0
200_1800_4	4	0	0	0	0	0	0	0	0
600_200_4	13	2	0	0	0	0	0	0	0
600_600_4	11	9	0	0	0	0	0	0	0
600_1000_4	13	8	0	2	0	0	0	1	0
600_1400_4	13	4	0	1	0	0	0	0	1
600_1800_4	4	4	0	0	0	0	0	1	0
1000_200_4	3	2	0	1	0	0	0	0	0
1000_600_4	12	9	0	1	0	0	0	0	0
1000_1000_4	19	5	0	1	0	0	0	0	0
1000_1400_4	18	2	0	2	0	0	0	0	2
1000_1800_4	7	1	0	4	0	0	0	0	0
1400_200_4	1	2	0	1	0	0	0	0	0
1400_600_4	19	2	0	0	0	0	0	0	0
1400_1000_4	15	6	0	1	0	0	0	0	1
1400_1400_4	11	6	0	3	0	0	0	0	0
1400_1800_4	9	1	0	4	0	0	0	0	0
1800_200_4	2	0	0	0	0	0	0	0	0
1800_600_4	4	3	0	0	0	0	0	0	1
1800_1000_4	5	2	0	0	0	0	0	0	1
1800_1400_4	6	3	0	3	0	0	0	0	0
1800_1800_4	1	1	0	0	0	0	0	0	0
200_200_5	3	1	0	0	0	0	0	0	0
200_600_5	14	0	0	0	0	0	0	0	1
200_1000_5	10	0	0	0	0	0	0	1	0
200_1400_5	4	5	0	1	0	0	0	0	1
200_1800_5	0	0	0	3	0	0	0	0	0
600_200_5	15	3	0	0	0	0	0	0	0
600_600_5	23	3	0	0	0	0	0	0	0
600_1000_5	11	6	0	1	0	0	0	1	0
600_1400_5	11	3	0	1	0	0	0	2	1
600_1800_5	6	4	0	1	0	0	0	0	0
1000_200_5	8	2	0	0	0	0	0	1	1
1000_600_5	13	2	0	5	0	0	1	0	0
1000_1000_5	14	2	0	0	0	0	0	2	0
1000_1400_5	13	6	0	4	0	0	0	1	0
1000_1800_5	5	3	0	2	0	0	0	1	1
1400_200_5	7	1	0	0	0	0	0	0	0
1400_600_5	20	4	0	2	0	0	0	0	2
1400_1000_5	11	2	0	6	0	0	0	1	0
1400_1400_5	11	9	0	1	0	0	0	0	0
1400_1800_5	5	3	0	3	0	0	0	0	0
1800_200_5	1	0	0	0	0	0	0	0	0
1800_600_5	8	1	0	0	0	0	0	1	0
1800_1000_5	6	1	0	1	0	0	0	0	1
1800_1400_5	5	5	0	0	0	0	0	1	0
1800_1800_5	0	1	0	2	0	0	0	0	1
200_600_6	3	1	2	0	0	0	0	0	0
200_1000_6	4	0	2	0	0	0	0	1	0
200_1400_6	0	0	1	0	0	0	0	0	0
200_1800_6	0	0	0	1	0	0	0	0	1
600_200_6	3	0	7	0	0	0	0	0	0
600_600_6	11	1	3	2	0	0	0	0	0
600_1000_6	10	1	0	5	0	0	0	1	1
600_1400_6	11	1	6	2	0	0	0	0	1
600_1800_6	0	0	1	0	0	0	0	0	1
1000_200_6	3	0	0	2	0	0	1	0	0
1000_600_6	16	1	0	2	0	0	0	0	1
1000_1000_6	13	2	0	2	0	0	0	0	1
1000_1400_6	5	0	0	3	0	0	0	0	0
1000_1800_6	1	0	1	0	0	0	0	0	1
1400_200_6	7	3	0	0	0	0	0	0	2
1400_600_6	20	3	0	0	0	0	0	0	1
1400_1000_6	20	2	0	3	0	0	3	0	2
1400_1400_6	11	1	0	2	0	0	2	1	0
1400_1800_6	0	1	3	0	0	0	0	0	2
1800_200_6	9	2	0	1	0	0	0	0	0
1800_600_6	8	4	0	1	0	0	1	1	0
1800_1000_6	9	0	0	3	0	0	1	1	0
1800_1400_6	12	1	0	2	0	0	1	0	0
1800_1800_6	2	1	2	1	0	0	0	0	0
200_600_7	1	0	0	0	0	0	0	0	0
200_1000_7	1	0	0	0	0	0	0	0	1
200_1400_7	2	0	0	0	3	0	0	0	2
600_200_7	0	0	0	2	0	0	0	0	1
600_600_7	1	0	4	1	0	0	0	0	1
600_1000_7	20	6	2	0	0	0	0	0	5
600_1400_7	11	0	0	1	12	0	0	0	2
600_1800_7	0	0	0	0	4	0	0	0	1
1000_600_7	2	0	1	1	0	0	0	0	1
1000_1000_7	9	2	1	3	0	0	0	0	1
1000_1400_7	1	0	0	0	7	0	0	0	0
1000_1800_7	0	0	0	1	2	0	0	0	0
1400_200_7	0	0	0	1	0	0	0	0	0
1400_600_7	2	1	1	0	0	0	0	0	1
1400_1000_7	17	0	3	5	0	0	0	1	1
1400_1400_7	7	0	0	3	9	0	0	0	0
1400_1800_7	0	0	0	0	5	0	0	0	0
1800_200_7	0	0	2	0	0	0	0	1	0
1800_600_7	0	1	0	1	0	0	0	0	1
1800_1000_7	2	2	1	1	0	0	0	0	1
1800_1400_7	1	0	0	0	1	0	0	0	0
1800_1800_7	0	0	0	0	3	0	0	0	0
